lettersIn,batchIn,wordIn,wordKnownIn,wordLengthIn,numWordsIn,resultOut,heightOut,timeOut
3,4,oh,true,2,82,true,2,21
3,4,sunday,false,6,82,false,3,28
3,4,car,true,3,82,true,3,28.5
3,4,bid,true,3,82,true,3,28
3,4,stem,false,4,82,false,1,16
3,4,sin,true,3,82,true,3,28
3,4,low,true,3,82,true,3,30.5
3,4,invest,false,6,82,false,2,28
3,4,time,false,4,82,false,2,31
3,4,up,true,2,82,true,2,24
3,4,cop,true,3,82,true,3,30.5
3,4,retired,false,7,82,false,2,27
3,4,he,true,2,82,true,2,23
3,4,dead,false,4,82,false,1,19.5
3,4,june,false,4,82,false,1,20.5
3,4,recently,false,8,82,false,2,26
3,4,waste,false,5,82,false,2,29
3,4,who,true,3,82,true,3,31
3,4,son,true,3,82,true,3,29.5
3,4,withdrawal,false,10,82,false,3,33.5
3,4,dog,true,3,82,true,3,30.5
3,4,nerve,false,5,82,false,2,28
3,4,crime,false,5,82,false,2,27
3,4,too,true,3,82,true,3,29.5
3,4,sum,true,3,82,true,3,31.5
3,4,workplace,false,9,82,false,2,27.5
3,4,not,true,3,82,true,3,33
3,4,phone,false,5,82,false,1,18
3,4,the,true,3,82,true,3,32
3,4,indoors,false,7,82,false,2,27.5
3,4,integrate,false,9,82,false,2,28
3,4,safe,false,4,82,false,2,28.5
3,4,do,true,2,82,true,2,22
3,4,statue,false,6,82,false,1,18.5
3,4,bet,true,3,82,true,3,33
3,4,hi,true,2,82,true,2,23
3,4,brief,false,5,82,false,2,22
3,4,mix,true,3,82,true,3,31
3,4,conspiracy,false,10,82,false,2,26.5
3,4,odd,true,3,82,true,3,32
3,4,lesser,false,6,82,false,2,31.5
3,4,ban,true,3,82,true,3,31.5
3,4,no,true,2,82,true,2,21
3,4,sit,true,3,82,true,3,29.5
3,4,variety,false,7,82,false,2,27
3,4,go,true,2,82,true,2,23
3,4,why,true,3,82,true,3,28.5
3,4,expansion,false,9,82,false,1,16
3,4,modify,false,6,82,false,2,25.5
3,4,chip,false,4,82,false,2,31.5
3,4,fry,true,3,82,true,3,53
3,4,raw,true,3,82,true,3,56
3,5,tenure,false,6,82,false,3,59.5
3,5,ten,true,3,82,true,3,62
3,5,rope,false,4,82,false,2,51.5
3,5,but,true,3,82,true,3,55.5
3,5,taxi,false,4,82,false,3,55.5
3,5,can,true,3,82,true,3,57.5
3,5,born,false,4,82,false,2,47
3,5,vow,true,3,82,true,3,63
3,5,disposal,false,8,82,false,2,47
3,5,hip,true,3,82,true,3,58
3,5,costume,false,7,82,false,2,45.5
3,5,love,false,4,82,false,2,49
3,5,private,false,7,82,false,1,34
3,5,tea,true,3,82,true,3,54
3,5,bee,true,3,82,true,3,59
3,5,kid,true,3,82,true,3,56.5
3,5,as,true,2,82,true,2,29.5
3,5,escalate,false,8,82,false,1,16
3,5,one,true,3,82,true,3,27.5
3,5,frightened,false,10,82,false,2,22
3,5,specify,false,7,82,false,2,23
3,5,son,true,3,82,true,3,28.5
3,5,on,true,2,82,true,2,20.5
3,5,presume,false,7,82,false,1,18.5
3,5,odd,true,3,82,true,3,29
3,5,who,true,3,82,true,3,27.5
3,5,strange,false,7,82,false,1,17.5
3,5,journalist,false,10,82,false,2,29
3,5,hit,true,3,82,true,3,30.5
3,5,eat,true,3,82,true,3,30
3,5,enormous,false,8,82,false,2,30
3,5,fibre,false,5,82,false,2,31.5
3,5,any,true,3,82,true,3,36
3,5,mix,true,3,82,true,3,29.5
3,5,guerrilla,false,9,82,false,2,24.5
3,5,tie,true,3,82,true,3,25.5
3,5,conscience,false,10,82,false,2,24
3,5,he,true,2,82,true,2,20.5
3,5,possess,false,7,82,false,2,25
3,5,why,true,3,82,true,3,28
3,5,helpful,false,7,82,false,2,25
3,5,oh,true,2,82,true,2,21.5
