lettersIn,batchIn,wordIn,wordKnownIn,wordLengthIn,numWordsIn,resultOut,heightOut,timeOut
3,0,wow,true,3,256,true,172,1
3,0,each,false,4,256,false,256,0.625
3,0,assembly,false,8,256,false,256,0.75
3,0,equally,false,7,256,false,256,0.75
3,0,ego,true,3,256,true,237,1.5
3,0,any,true,3,256,true,7,0.125
3,0,how,true,3,256,true,60,0.375
3,0,she,true,3,256,true,106,0.625
3,0,united,false,6,256,false,256,0.625
3,0,revolutionary,false,13,256,false,256,0.625
3,0,yet,true,3,256,true,173,1
3,0,by,true,2,256,true,23,0.125
3,0,toy,true,3,256,true,167,1.125
3,0,scientist,false,9,256,false,256,0.625
3,0,get,true,3,256,true,49,0.375
3,0,such,false,4,256,false,256,0.75
3,0,to,true,2,256,true,115,0.625
3,0,box,true,3,256,true,18,0.25
3,0,hi,true,2,256,true,56,0.375
3,0,whip,false,4,256,false,256,1.125
3,0,destroy,false,7,256,false,256,0.875
3,0,hip,true,3,256,true,213,1.875
3,0,fragment,false,8,256,false,256,0.75
3,0,manuscript,false,10,256,false,256,0.625
3,0,at,true,2,256,true,12,0.125
3,0,freeze,false,6,256,false,256,0.625
3,0,trainer,false,7,256,false,256,0.75
3,0,ensue,false,5,256,false,256,0.625
3,0,shy,true,3,256,true,196,1.25
3,0,coordinator,false,11,256,false,256,0.625
3,0,pot,true,3,256,true,192,1.25
3,0,skin,false,4,256,false,256,0.75
3,0,pop,true,3,256,true,159,0.875
3,0,go,true,2,256,true,50,0.125
3,0,namely,false,6,256,false,256,0.625
3,0,case,false,4,256,false,256,0.75
3,0,long,false,4,256,false,256,0.625
3,0,our,true,3,256,true,93,1
3,1,by,true,2,256,true,23,0.25
3,1,sole,false,4,256,false,256,0.875
3,1,rape,false,4,256,false,256,0.875
3,1,pencil,false,6,256,false,256,0.875
3,1,widely,false,6,256,false,256,0.875
3,1,a,true,1,256,true,0,0.125
3,1,tax,true,3,256,true,197,1.25
3,1,aim,true,3,256,true,175,1
3,1,halfway,false,7,256,false,256,0.875
3,1,ray,true,3,256,true,248,2.125
3,1,straightforward,false,15,256,false,256,0.75
3,1,request,false,7,256,false,256,0.625
3,1,ban,true,3,256,true,176,1.5
3,1,see,true,3,256,true,105,0.625
3,1,up,true,2,256,true,121,0.75
3,1,foundation,false,10,256,false,256,0.75
3,1,crop,false,4,256,false,256,0.875
3,1,design,false,6,256,false,256,1.125
3,1,oxygen,false,6,256,false,256,1.125
3,1,the,true,3,256,true,114,1.25
3,1,out,true,3,256,true,94,1.125
3,1,midnight,false,8,256,false,256,0.875
3,1,weekly,false,6,256,false,256,1.125
3,1,penalty,false,7,256,false,256,1.125
3,1,sex,true,3,256,true,195,2.625
3,1,conserve,false,8,256,false,256,1.125
3,1,isolated,false,8,256,false,256,0.75
3,1,sue,true,3,256,true,253,2.25
3,1,tea,true,3,256,true,112,1.125
3,1,far,true,3,256,true,43,0.25
3,1,raw,true,3,256,true,220,1.375
3,1,experimental,false,12,256,false,256,0.75
3,1,me,true,2,256,true,77,0.25
3,1,cognitive,false,9,256,false,256,0.75
